UniProtID	GeneID	Origin	Inf0h_counts	Inf15h_counts	Inf24h_counts	Inf48h_counts	Inf72h_counts	Inf0h_TMM	Inf15h_TMM	Inf24h_TMM	Inf48h_TMM	Inf72h_TMM	logFC_15h	pval_15h	FDR_15h	logFC_24h	pval_24h	FDR_24h	logFC_48h	pval_48h	FDR_48h	logFC_72h	pval_72h	FDR_72h	Ttest_FDR_24h	Ttest_FDR_48h	Ttest_FDR_72h
A0A0C7T867	BSLF1	Virus	414.5	9606	11657.5	10246	7207.5	21.20521604	314.0756089	593.848185	513.9682646	378.3229597	4.322095273	5.56E-29	1.16E-26	5.267084359	1.16E-05	0.000454673	4.731723459	9.05E-05	0.001747887	4.340609067	7.31E-05	0.010345799	7.00E-05	0.30934	0.15075
I1YP15	BSRF1	Virus	99.5	799	3214.5	2299.5	2020	5.368348761	26.12392374	171.7358696	123.6566711	114.7969258	4.822004592	4.14E-28	7.93E-26	5.81996141	0.002887977	0.02580584	4.727837268	3.03E-10	2.49E-08	4.897358171	0.000986735	0.036035935	7.00E-05	0.96303	0.48818
K9USJ1	BTRF1	Virus	55.66666667	9635	5841.5	3070	2530.5	2.67878781	315.0237863	272.3689781	140.2409173	115.4278565	4.370826639	1.84E-29	4.07E-27	6.274380976	0.120751872	0.323704969	5.056882302	0.152677531	0.413293497	5.210971253	0.02653178	0.167426112	0.00025	0.96303	0.31386
K9URF6	BVRF1	Virus	216.8333333	2572	3917.5	2814.5	3027.5	11.69737834	84.09353175	211.3679726	149.8163987	172.7339634	5.303935953	2.73E-36	1.29E-33	4.929683239	0.019582781	0.099520707	4.189408256	0.005744582	0.046364521	4.151666068	0.000138048	0.01466032	0.00014	0.96303	0.97155
K9UR83	BVRF2	Virus	948.1666667	40313	30349.5	22385	17580.5	47.24216821	1318.064753	1518.296192	1109.346582	940.3944342	5.219980979	1.19E-38	9.34E-36	5.331167294	1.39E-07	1.22E-05	4.629876932	1.19E-15	1.95E-13	4.239133694	1.23E-07	0.000166483	1.00E-05	0.10583	0.77248
K9UR81	BXLF1	Virus	1239.833333	46130	38391	36194.5	24905	63.70215815	1508.256073	1959.474188	1822.653059	1261.368722	4.185319291	5.30E-28	9.88E-26	5.355069083	0.004867182	0.0375808	5.008026735	8.07E-06	0.000225456	4.644550648	0.002265205	0.053501825	8.00E-05	0.29286	0.47615
G3CKS5	BXLF2	Virus	329.1666667	18220	12215.5	9277	9609.5	15.82077989	595.7170095	623.8124211	465.7930818	517.5481369	5.323421882	2.00E-39	2.35E-36	5.778666721	0.002308248	0.021967876	4.790336616	1.04E-27	2.91E-24	4.831697542	0.000267934	0.020210256	0	0.46755	0.57904
Q3KSQ1	BXRF1	Virus	40.16666667	5866	2678	1276	1691	2.117740685	191.7934126	149.9356319	70.51832844	98.14759195	5.6418273	2.56E-41	3.63E-38	6.283100875	0.046581466	0.177114032	4.122008134	3.62E-11	3.75E-09	5.328175996	4.50E-05	0.007120903	2.00E-05	0.96303	0.97155
K9USC8	LF1	Virus	506	21452	8197.5	5835	5468.5	26.3885894	701.3897524	418.794256	298.3802898	295.1279017	5.066244458	7.51E-37	4.13E-34	4.373873722	0.030321284	0.133489824	3.695128085	2.81E-10	2.36E-08	3.558888273	7.00E-06	0.00209104	0.00017	0.54526	0.97155
K9UTL9	LF2	Virus	364.5	10089	6246.5	6406.5	4000	18.0887378	329.8676679	313.4587014	313.5276032	206.2471694	3.746235678	1.99E-23	2.71E-21	4.355528485	4.71E-11	1.05E-08	4.132068067	8.51E-11	8.23E-09	3.475228401	5.65E-07	0.000380024	3.00E-05	0.96303	0.93267
